"Story","Title","Result","Date","Stability","Duration (s)"
"login","Login Correct","SUCCESS","2022-09-08T10:54:40.207-03:00[America/Argentina/Buenos_Aires]","0.0","16.84"
"Enter position","Registrer a new charge","SUCCESS","2022-09-08T10:54:13.44-03:00[America/Argentina/Buenos_Aires]","0.0","23.38"
