"Story","Title","Result","Date","Stability","Duration (s)"
"login","Login Correct","SUCCESS","2022-09-15T11:10:06.7315131-03:00[America/Buenos_Aires]","0.0","20.89"
"Enter position","Registrer a new charge","SUCCESS","2022-09-15T11:10:34.0334251-03:00[America/Buenos_Aires]","0.0","36.09"
